Year	Country	Value
2013	Austria	"Intermediate highly coordinated"
2013	Belgium	"Centralised highly coordinated"
2013	Cyprus	"Intermediate low level of coordination"
2013	"Czech Republic"	"Intermediate low level of coordination"
2013	Denmark	"Intermediate medium level of coordination "
2013	Estonia	"Decentralised low level of coordination"
2013	Spain	"Centralised highly coordinated"
2013	France	"Intermediate low level of coordination"
2013	Hungary	"Decentralised low level of coordination"
2013	Ireland	"Decentralised medium level of coordination"
2013	Lithuania	"Decentralised low level of coordination"
2013	Luxembourg	"Intermediate low level of coordination"
2013	Latvia	"Decentralised low level of coordination"
2013	Malta	"Decentralised low level of coordination"
2013	Poland	"Decentralised low level of coordination"
2013	Portugal	"Intermediate medium level of coordination "
2013	Romania	"Intermediate low level of coordination"
2013	Sweden	"Intermediate highly coordinated"
2013	Slovakia	"Intermediate medium level of coordination "
2013	"United Kingdom"	"Decentralised low level of coordination"
2013	Bulgaria	"Intermediate low level of coordination"
2013	Finland	"Centralised highly coordinated"
2013	Norway	"Intermediate highly coordinated"
2013	Croatia	"Intermediate low level of coordination"
2013	Italy	"Intermediate medium level of coordination "
2013	Greece	"Decentralised medium level of coordination "
