Year	Country	Value
2000	Austria	"Intermediate highly coordinated"
2000	Belgium	"Centralised highly coordinated"
2000	Bulgaria	"Intermediate low level of coordination"
2000	Cyprus	"Intermediate low level of coordination"
2000	"Czech Republic"	"Decentralised low level of coordination"
2000	Germany	"Intermediate medium level of coordination "
2000	Denmark	"Intermediate highly coordinated"
2000	Estonia	"Decentralised low level of coordination"
2000	Greece	"Centralised low level of coordination"
2000	Spain	"Intermediate medium level of coordination "
2000	Finland	"Intermediate medium level of coordination "
2000	France	"Intermediate low level of coordination"
2000	Hungary	"Decentralised low level of coordination"
2000	Ireland	"Centralised highly coordinated"
2000	Italy	"Intermediate medium level of coordination "
2000	Lithuania	"Decentralised low level of coordination"
2000	Luxembourg	"Intermediate low level of coordination"
2000	Latvia	"Decentralised low level of coordination"
2000	Malta	"Decentralised low level of coordination"
2000	Netherlands	"Intermediate medium level of coordination"
2000	Norway	"Centralised highly coordinated"
2000	Poland	"Decentralised low level of coordination"
2000	Portugal	"Intermediate medium level of coordination "
2000	Romania	"Intermediate low level of coordination"
2000	Sweden	"Intermediate highly coordinated"
2000	Slovenia	"Centralised highly coordinated"
2000	Slovakia	"Intermediate medium level of coordination "
2000	"United Kingdom"	"Decentralised low level of coordination"
