Year	Country	Value
2012	Austria	"Intermediate highly coordinated"
2012	Belgium	"Centralised highly coordinated"
2012	Bulgaria	"Intermediate low level of coordination"
2012	Cyprus	"Intermediate low level of coordination"
2012	"Czech Republic"	"Intermediate low level of coordination"
2012	Germany	"Intermediate medium level of coordination "
2012	Denmark	"Intermediate medium level of coordination "
2012	Estonia	"Decentralised low level of coordination"
2012	Greece	"Decentralised low level of coordination"
2012	Spain	"Centralised highly coordinated"
2012	Finland	"Centralised highly coordinated"
2012	France	"Intermediate low level of coordination"
2012	Hungary	"Decentralised low level of coordination"
2012	Ireland	"Decentralised low level of coordination"
2012	Lithuania	"Decentralised low level of coordination"
2012	Luxembourg	"Intermediate low level of coordination"
2012	Latvia	"Decentralised low level of coordination"
2012	Malta	"Decentralised low level of coordination"
2012	Poland	"Decentralised low level of coordination"
2012	Portugal	"Intermediate medium level of coordination "
2012	Romania	"Intermediate low level of coordination"
2012	Sweden	"Intermediate highly coordinated"
2012	Slovenia	"Intermediate medium level of coordination "
2012	Slovakia	"Intermediate medium level of coordination "
2012	"United Kingdom"	"Decentralised low level of coordination"
2012	Norway	"Intermediate highly coordinated"
2012	Netherlands	"Intermediate medium level of coordination"
2012	Italy	"Intermediate medium level of coordination"
