Year	Country	Value
1999	Austria	"Intermediate highly coordinated"
1999	Belgium	"Centralised highly coordinated"
1999	Bulgaria	"Intermediate low level of coordination"
1999	Cyprus	"Intermediate low level of coordination"
1999	"Czech Republic"	"Intermediate low level of coordination"
1999	Germany	"Intermediate medium level of coordination "
1999	Denmark	"Intermediate highly coordinated"
1999	Estonia	"Decentralised low level of coordination"
1999	Greece	"Centralised low level of coordination"
1999	Spain	"Intermediate medium level of coordination "
1999	Finland	"Centralised highly coordinated"
1999	France	"Intermediate low level of coordination"
1999	Hungary	"Decentralised low level of coordination"
1999	Ireland	"Centralised highly coordinated"
1999	Italy	"Intermediate highly coordinated"
1999	Lithuania	"Decentralised low level of coordination"
1999	Luxembourg	"Intermediate low level of coordination"
1999	Latvia	"Decentralised low level of coordination"
1999	Malta	"Decentralised low level of coordination"
1999	Netherlands	"Intermediate medium level of coordination "
1999	Norway	"Intermediate highly coordinated"
1999	Poland	"Decentralised low level of coordination"
1999	Portugal	"Intermediate medium level of coordination "
1999	Romania	"Intermediate low level of coordination"
1999	Sweden	"Intermediate highly coordinated"
1999	Slovenia	"Centralised highly coordinated"
1999	Slovakia	"Intermediate medium level of coordination "
1999	"United Kingdom"	"Decentralised low level of coordination"
