Year	Country	Value
2009	Austria	"Intermediate highly coordinated"
2009	Belgium	"Centralised highly coordinated"
2009	Bulgaria	"Intermediate low level of coordination"
2009	Cyprus	"Intermediate low level of coordination"
2009	"Czech Republic"	"Decentralised low level of coordination"
2009	Germany	"Intermediate highly coordinated"
2009	Denmark	"Intermediate highly coordinated"
2009	Estonia	"Decentralised low level of coordination"
2009	Greece	"Centralised low level of coordination"
2009	Spain	"Intermediate medium level of coordination "
2009	Finland	"Intermediate medium level of coordination "
2009	France	"Intermediate low level of coordination"
2009	Hungary	"Decentralised low level of coordination"
2009	Ireland	"Decentralised medium level of coordination "
2009	Italy	"Intermediate medium level of coordination "
2009	Lithuania	"Decentralised low level of coordination"
2009	Luxembourg	"Intermediate low level of coordination"
2009	Latvia	"Decentralised low level of coordination"
2009	Malta	"Decentralised low level of coordination"
2009	Netherlands	"Intermediate highly coordinated"
2009	Norway	"Intermediate highly coordinated"
2009	Poland	"Decentralised low level of coordination"
2009	Portugal	"Intermediate medium level of coordination "
2009	Romania	"Intermediate low level of coordination"
2009	Sweden	"Intermediate highly coordinated"
2009	Slovenia	"Centralised highly coordinated"
2009	Slovakia	"Intermediate low level of coordination"
2009	"United Kingdom"	"Decentralised low level of coordination"
