Year	Country	Value
2007	Austria	"Intermediate highly coordinated"
2007	Belgium	"Centralised highly coordinated"
2007	Bulgaria	"Intermediate low level of coordination"
2007	Cyprus	"Intermediate low level of coordination"
2007	"Czech Republic"	"Intermediate low level of coordination"
2007	Germany	"Intermediate highly coordinated"
2007	Denmark	"Intermediate highly coordinated"
2007	Estonia	"Decentralised low level of coordination"
2007	Greece	"Centralised low level of coordination"
2007	Spain	"Centralised highly coordinated"
2007	Finland	"Intermediate medium level of coordination "
2007	France	"Intermediate low level of coordination"
2007	Hungary	"Decentralised low level of coordination"
2007	Ireland	"Centralised highly coordinated"
2007	Italy	"Intermediate medium level of coordination "
2007	Lithuania	"Decentralised low level of coordination"
2007	Luxembourg	"Intermediate low level of coordination"
2007	Latvia	"Decentralised low level of coordination"
2007	Malta	"Decentralised low level of coordination"
2007	Netherlands	"Intermediate medium level of coordination"
2007	Norway	"Intermediate highly coordinated "
2007	Poland	"Decentralised low level of coordination"
2007	Portugal	"Intermediate low level of coordination"
2007	Romania	"Intermediate highly coordinated"
2007	Sweden	"Intermediate highly coordinated"
2007	Slovenia	"Centralised highly coordinated"
2007	Slovakia	"Intermediate low level of coordination"
2007	"United Kingdom"	"Decentralised low level of coordination"
