Year	Country	Value
2010	Austria	"Intermediate highly coordinated"
2010	Belgium	"Centralised highly coordinated"
2010	Bulgaria	"Intermediate low level of coordination"
2010	Cyprus	"Intermediate low level of coordination"
2010	"Czech Republic"	"Intermediate low level of coordination"
2010	Germany	"Intermediate medium level of coordination "
2010	Denmark	"Intermediate highly coordinated"
2010	Estonia	"Decentralised low level of coordination"
2010	Greece	"Centralised highly coordinated"
2010	Spain	"Centralised highly coordinated"
2010	Finland	"Intermediate medium level of coordination "
2010	France	"Intermediate low level of coordination"
2010	Hungary	"Decentralised low level of coordination"
2010	Ireland	"Decentralised medium level of coordination "
2010	Italy	"Intermediate medium level of coordination "
2010	Lithuania	"Decentralised low level of coordination"
2010	Luxembourg	"Intermediate low level of coordination"
2010	Latvia	"Decentralised low level of coordination"
2010	Malta	"Decentralised low level of coordination"
2010	Netherlands	"Intermediate highly coordinated"
2010	Norway	"Intermediate highly coordinated"
2010	Poland	"Decentralised low level of coordination"
2010	Portugal	"Intermediate medium level of coordination "
2010	Romania	"Intermediate highly coordinated"
2010	Sweden	"Intermediate highly coordinated"
2010	Slovenia	"Intermediate medium level of coordination "
2010	Slovakia	"Intermediate medium level of coordination "
2010	"United Kingdom"	"Decentralised low level of coordination"
