Year	Country	Value
2004	Austria	"Intermediate highly coordinated"
2004	Belgium	"Centralised highly coordinated"
2004	Bulgaria	"Intermediate low level of coordination"
2004	Cyprus	"Intermediate low level of coordination"
2004	"Czech Republic"	"Intermediate low level of coordination"
2004	Germany	"Intermediate highly coordinated"
2004	Denmark	"Intermediate highly coordinated"
2004	Estonia	"Decentralised low level of coordination"
2004	Greece	"Centralised low level of coordination"
2004	Spain	"Centralised highly coordinated"
2004	Finland	"Centralised highly coordinated"
2004	France	"Intermediate low level of coordination"
2004	Hungary	"Decentralised low level of coordination"
2004	Ireland	"Centralised highly coordinated"
2004	Italy	"Intermediate medium level of coordination "
2004	Lithuania	"Decentralised low level of coordination"
2004	Luxembourg	"Intermediate low level of coordination"
2004	Latvia	"Decentralised low level of coordination"
2004	Malta	"Decentralised low level of coordination"
2004	Netherlands	"Centralised highly coordinated"
2004	Norway	"Intermediate highly coordinated"
2004	Poland	"Decentralised low level of coordination"
2004	Portugal	"Intermediate low level of coordination"
2004	Romania	"Intermediate low level of coordination"
2004	Sweden	"Intermediate highly coordinated"
2004	Slovenia	"Centralised highly coordinated"
2004	Slovakia	"Intermediate low level of coordination"
2004	"United Kingdom"	"Decentralised low level of coordination"
