Year	Country	Value
2005	Austria	"Intermediate highly coordinated"
2005	Belgium	"Centralised highly coordinated"
2005	Bulgaria	"Intermediate low level of coordination"
2005	Cyprus	"Intermediate low level of coordination"
2005	"Czech Republic"	"Decentralised low level of coordination"
2005	Germany	"Intermediate highly coordinated"
2005	Denmark	"Intermediate highly coordinated"
2005	Estonia	"Decentralised low level of coordination"
2005	Greece	"Centralised low level of coordination"
2005	Spain	"Centralised highly coordinated"
2005	Finland	"Centralised highly coordinated"
2005	France	"Intermediate low level of coordination"
2005	Hungary	"Decentralised low level of coordination"
2005	Ireland	"Centralised highly coordinated"
2005	Italy	"Intermediate medium level of coordination"
2005	Lithuania	"Decentralised low level of coordination"
2005	Luxembourg	"Intermediate low level of coordination"
2005	Latvia	"Decentralised low level of coordination"
2005	Malta	"Decentralised low level of coordination"
2005	Netherlands	"Intermediate highly coordinated"
2005	Norway	"Intermediate highly coordinated"
2005	Poland	"Decentralised low level of coordination"
2005	Portugal	"Intermediate low level of coordination"
2005	Romania	"Intermediate highly coordinated"
2005	Sweden	"Intermediate highly coordinated"
2005	Slovenia	"Centralised highly coordinated"
2005	Slovakia	"Intermediate low level of coordination"
2005	"United Kingdom"	"Decentralised low level of coordination"
