Year	Country	Value
2011	Austria	"Intermediate highly coordinated"
2011	Belgium	"Centralised highly coordinated"
2011	Bulgaria	"Intermediate low level of coordination"
2011	Cyprus	"Intermediate low level of coordination"
2011	"Czech Republic"	"Decentralised low level of coordination"
2011	Germany	"Intermediate medium level of coordination "
2011	Denmark	"Intermediate highly coordinated"
2011	Estonia	"Decentralised low level of coordination"
2011	Greece	"Centralised highly coordinated"
2011	Spain	"Centralised highly coordinated"
2011	Finland	"Centralised highly coordinated"
2011	France	"Intermediate low level of coordination"
2011	Hungary	"Decentralised low level of coordination"
2011	Ireland	"Decentralised medium level of coordination "
2011	Italy	"Intermediate medium level of coordination "
2011	Lithuania	"Decentralised low level of coordination"
2011	Luxembourg	"Intermediate low level of coordination"
2011	Latvia	"Decentralised low level of coordination"
2011	Malta	"Decentralised low level of coordination"
2011	Netherlands	"Intermediate medium level of coordination "
2011	Norway	"Intermediate highly coordinated"
2011	Poland	"Decentralised low level of coordination"
2011	Portugal	"Intermediate medium level of coordination "
2011	Romania	"Intermediate low level of coordination"
2011	Sweden	"Intermediate highly coordinated"
2011	Slovenia	"Intermediate medium level of coordination "
2011	Slovakia	"Intermediate medium level of coordination "
2011	"United Kingdom"	"Decentralised low level of coordination"
