Year	Country	Value
2002	Austria	"Intermediate highly coordinated"
2002	Belgium	"Centralised highly coordinated"
2002	Bulgaria	"Intermediate low level of coordination"
2002	Cyprus	"Intermediate low level of coordination"
2002	"Czech Republic"	"Decentralised low level of coordination"
2002	Germany	"Intermediate highly coordinated"
2002	Denmark	"Intermediate highly coordinated"
2002	Estonia	"Decentralised low level of coordination"
2002	Greece	"Centralised low level of coordination"
2002	Spain	"Centralised highly coordinated"
2002	Finland	"Centralised highly coordinated"
2002	France	"Intermediate low level of coordination"
2002	Hungary	"Decentralised low level of coordination"
2002	Ireland	"Centralised highly coordinated"
2002	Italy	"Intermediate medium level of coordination "
2002	Lithuania	"Decentralised low level of coordination"
2002	Luxembourg	"Intermediate low level of coordination"
2002	Latvia	"Decentralised low level of coordination"
2002	Malta	"Decentralised low level of coordination"
2002	Netherlands	"Centralised highly coordinated"
2002	Norway	"Intermediate highly coordinated"
2002	Poland	"Decentralised low level of coordination"
2002	Portugal	"Intermediate low level of coordination"
2002	Romania	"Intermediate highly coordinated"
2002	Sweden	"Intermediate highly coordinated"
2002	Slovenia	"Centralised highly coordinated"
2002	Slovakia	"Intermediate low level of coordination"
2002	"United Kingdom"	"Decentralised low level of coordination"
